island_name,Agonum gracile,A. obscurum,Amara apricaria,A. aulica,A. brunnea,A. communis,A. lunicollis,A.  Nitrida,A. ovata,Badister bipustulatus,Bembidion guttula,B. quadrimaculatum,B. unicolor,Calatus fuscipes,C. melanosephalus,C. micropterus,Carabus hortensis,C. violaceus,Cychrus caraboides,Dromius fenestratus,D. sigma,Dyschirius globosus,Elaphrus uliginosus,Harpalus latus,H. quadripunctatus,H. seladon,Leistus ferrugineus,Loricera pilicornis,Metabletus truncatellus,Nebria brevicollis,Notiophilus biguttatus,N. germinyi,N. palustris,Patrobus atrorufus,Pterostichus coerulescens,P. diligens,P. lepidus,P. minor,P. niger,P. nigrita,P. oblongopunctatus,P. strenuus,P. vernalis,Trecus rivularis,T. secalis
N,0,1,0,0,1,11,1,2,0,2,1,0,1,0,6,5,15,4,3,1,0,7,1,1,6,2,0,9,0,0,3,0,0,45,3,0,2,0,65,1,44,11,0,0,51
D,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,27,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0
R,14,2,1,0,0,3,0,0,0,2,0,0,5,0,1,1,0,4,1,0,0,20,0,0,0,2,0,45,2,0,0,0,0,66,1,1,0,1,30,5,0,11,5,1,14
T,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,9,4,0,1,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,29,0,0,0
A,0,0,0,0,2,9,0,0,0,0,0,0,0,5,1,4,0,23,0,0,0,22,0,0,0,0,0,0,0,1,4,0,0,29,0,0,0,0,65,0,12,0,0,0,10
G,2,2,0,0,0,0,0,0,0,7,0,0,0,0,1,19,4,20,9,0,0,5,0,0,1,0,0,0,0,0,0,0,1,22,0,3,0,0,29,1,13,10,0,0,0
OK,0,0,0,0,0,0,0,0,0,3,0,0,0,0,48,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,67,0,0,8,0,0,0
V,0,2,0,3,0,0,0,0,0,0,0,1,0,0,14,0,1,10,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,0,94,0,0,4,0,0,48
H,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,13,0,0,9,0,0,0
S,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,77,0,3,0,0,0,7