island_name,Arctiidae,Agrisius fuliginosus,Eilema deplana,Eilema nankingica,Miltochrista aberrans,Miltochrista miniata,Miltochrista striata,Rhyparioides amurensis,Rhyparioides nebulosus,Spilarctia luteum,Spilarctia seriatopunctatum,Spilarctia subcarnea,Spilosoma album,Spilosoma inaequalis,Stigmatophora flava,Bombycidae,Bombyx mandarina,Cossidae,Zeuzera multistrigata,Drepanidae,Macrauzata maxima,Macrocilix mysticata,Sabra harpagula,Epiplemidae,Epiplema moze,Epiplema plagifera,Geometridae,Abraxas fulvobasalis,Abraxas niphonibia,Abraxas sylvata,Aethalura ignobilis,Alcis angulifera,Amraica superans,Arichanna melanaria,Ascotis imparata,Ascotis selenaria,Callygris compositata,Chariaspilates formosaria,Chiasmia defixaria,Chiasmia hebesata,Chiasmia normata,Chlorissa amphitritaria,Chlorissa anadema,Chlorissa macrotyro,Chlorissa obliterata,Chloroclystis consueta,Chloroclystis rectagulata,Chloroclystis subcinctata,Chloroclystis v-ata,Comibaena amoenaria,Comibaena argentataria,Comibaena diluta,Comibaena procumbaria,Comostola subtiliaria,Corymica specularia,Cotta incongruaria,Culcula panterinaria,Culpinia diffusa,Diplodemsma ussuriaria,Ecliptopera umbrosaria,Ectropis excellens,Ectropis obliqua,Eschatarchia lineata,Eulithis fabiolaria,Eulithis ledereri,Eupithecia tricornuta,Exangerona prattiaria,Geometra valida,Hemistola zimmermanni,Hemithea aestivaria,Hemithea marina,Heterarmia buttneri,Heterocallia temeraria,Heterostegane hyriaria,Heterothera postalbida,Hypephyra terrosa,Hypomecis punctinalis,Hypomecis roboraria,Idaea aversata,Idaea biselata,Idaea impexa,Idaea muricata,Idaea trisetata,Jodis lactearia,Jodis putata,Krananda semihyalina,Lamprocabera candidaria,Lomographa bimaculata,Menophra atrilineata,Menophra senilis,Microcalcarifera obscura,Microlygris complicata,Microlygris multistriata,Ninodes splendens,Ninodes watanabei,Nothomiza aureolaria,Obeidia tigrata,Odontopera arida,Ophthalmitis albosignaria,Orthonama obstipata,Ourapteryx koreana,Ourapteryx nivea,Parabapta clarissa,Pareclipsis gracilis,Pasiphila excisa,Percnia albinigrata,Philereme corrugata,Plagodis pulveraria,Problepsis diazoma,Problepsis minuta,Racotis boarmiaria,Rikiosatoa grisea,Scopula epiorrhoe,Scopula floslactata,Scopula ichinosawana,Scopula ignobilis,Scopula impersonata,Scopula modicaria,Scopula nesciaria,Scopula nigropunctata,Scopula semiignobilis,Scopula superior,Tanaorhinus reciprocata,Tephrina vapulata,Timandra comptaria,Xanthorhoe muscicapata,Xanthorhoe saturata,Zethenia albonotaria,Lasiocampidae,Malacosoma neustria,Odonestis pruni,Limacodidae,Latoia hilarata,Latoia sinica,Microleon longipalpis,Narosa fulgens,Lymantriidae,Arctornis alba,Euproctis pulverea,Parocneria furva,Pida niphonis,Noctuidae,Acontia bicolora,Acrapex azumai,Acronicta hercules,Acronicta pruinosa,Adisura atkinsoni,Adrapsa simplex,Aedia leucomelas,Agrotis clavis,Agrotis ipsilon,Agrotis segetum,Anachrostis nigripunctalis,Anapamea minor,Anomis mesogona,Apamea hampsoni,Apamea sordens,Athetis albisignata,Athetis cinerascens,Athetis dissimilis,Athetis gluteosa,Athetis lapidea,Athetis lineosa,Athetis stellata,Atrachea nitens,Autoba tristalis,Aventiola pusilla,Axylia putris,Blenina senex,Bomolocha squalida,Brevipecten consanguis,Bryophila granitalis,Callopistria juventina,Callopistria repleta,Cerastis leucographa,Cidariplura gladiata,Coenobia orientalis,Condica chinensis,Condica fuliginosa,Corgatha dictaria,Corgatha nitens,Corgatha obsoleta,Cosmia achatina,Craniophora fasciata,Cryphia obscura,Cymatophoropsis trimaculata,Daddala lucilla,Diarsia canescens,Diarsia deparca,Diomea cremata,Diphtherocone fulvicollis,Dypterygia cupreotincta,Earias pudicana,Edessena hamada,Enispa lutefascialis,Ercheia niveostrigata,Erebus ephesperis,Ericeia pertendens,Erygia apicalis,Gonepatica butleri,Gonepatica opalina,Hadena rivularis,Hadennia incongruens,Hadennia obliqna,Helicoverpa armigera,Helicoverpa assulta,Hemipsectra fallax,Herminia arenosa,Hermonassa cecilia,Hipoepa fractalis,Hydrillodes funeralis,Hypena amica,Hypena trigonalis,Hypopyra vespertilio,Hyposemansis albipuncta,Iragaodes nobilis,Koyaga falsa,Kumasia kumaso,Lacanobia thalassina,Leiostola mollis,Lophomilia polybapta,Lophoruza pulcherrima,Macdunnoughia confusa,Macdunnoughia purissima,Maguda suffusa,Maliattha bella,Maliattha chalcogramma,Maliattha signifera,Mecodina cineracea,Mecodina nubiferalis,Mecodina subviolacea,Melapia japonica,Metopta rectifasciata,Micreremites pyraloides,Microxyla confusa,Mniotype melanodonta,Mocis ancilla,Mythimna iodochra,Mythimna matsumuriana,Mythimna placida,Mythimna rufipennis,Mythimna stolida,Mythimna turca,Naganoella timandra,Neustrotia japonica,Neustrotia rectilineata,Niphonyx segregata,Nonagria turpis,Orthogonia sera,Oruza glaucotorna,Oruza mira,Ozarba punctigera,Pangrapta albistigma,Pangrapta costinotata,Pangrapta curtalis,Pangrapta flavomacula,Pangrapta obscurata,Pangrapta perturbans,Pangrapta trilineata,Paracolax contigua,Paracolax fentoni,Paracolax pryeri,Paragabara flavomacula,Paragona inchoata,Perynea ruficeps,Perynea subrosea,Phyllophila obliterata,Plusiodonta casta,Polia bombycina,Polypaenis subviridis,Protodeltote maculana,Protodeltote pygarga,Rhynchina cramboides,Rhynchodontodes plusioides,Rivula inconspicua,Rivula sericealis,Roeselia costalis,Sarbanissa subflava,Sarbanissa venusta,Sarcopolia illoba,Sesamia inferens,Sideridis honeyi,Siglophora ferreilutea,Simplicia niphona,Simplicia rectalis,Sineugraphe oceanica,Sphragifera biplaga,Spirama helicina,Spirama retorta,Spodoptera depravata,Spodoptera exigua,Stenbergmania albomaculalis,Stenhypena nigripunctata,Stenograpta stenoptera,Sypnoides picta,Trotosema sordidum,Wilemaniella angulata,Xestia c-nigrum,Xestia descripta,Xestia stupenda,Zanclognatha curvilinea,Zanclognatha leechi,Zanclognatha lunalis,Zanclognatha stramentacealis,Zanclognatha sugii,Zanclognatha tarsipennalis,Nolidae,Meganola albula,Meganola fumosa,Meganola protogigas,Mimerastria mandschuriana,Roeselia protogigas,Notodontidae,Cnethodonta grisescens,Fentonia ocypete,Gangarides dharma,Neostauropus basalis,Notodonta basinotata,Phalera sangana,Quadricalcarifera subgeneris,Rabtala cristata,Shaka atrovittatus,Spatalia doerriesi,Uropyia meticulodina,Wilemanus bidentatus,Pyralidae,Agrotera nemoralis,Analthes maculalis,Anania verbascalis,Ancylolomia japonica,Arippara indicator,Bocchoris onychinalis,Bradina atopalis,Bradina geminalis,Calamotropha paludella,Calguia defiguralis,Chabula telphusalis,Charema noctescens,Chilo suppressalis,Circobotys aurealis,Cirrhochrista brizoalis,Conobathra bifidella,Cotachena alysoni,Cotachena pubescens,Craneophora ficki,Diasemia accalis,Dichocrocis chlorophanta,Dichocrocis punctiferalis,Dichocrocis surusalis,Dioryctria abietella,Dioryctria sylvestrella,Endotricha consocia,Endotricha flavofascialis,Endotricha kuznetzovi,Endotricha olivacealis,Ephestia elutella,Epilepia dentata,Evergestis forficalis,Glyphodes duplicalia,Goniorhynchus butyrosa,Goniorhynchus exemplaris,Goniorhynchus explicatalis,Herpetogramma fuscescens,Herpetogramma luctuosalis,Herpetogramma rudis,Hyalobathra dialychna,Hypsopygia postflava,Lamoria glaucalis,Locastra muscosalis,Metaeuchromius flavofascialis,Metasia coniotalis,Miyakea expansa,Nacoleia commixta,Nacoleia maculalis,Notarcha derogata,Nymphula responsalis,Oncocera semirubella,Orthopygia glaucinalis,Orthopygia nannodes,Ostrinia furnacalis,Ostrinia orientalis,Ostrinia palustralis,Ostrinia scapulalis,Ostrinia zaguliaevi,Pagyda quadrilineata,Pagyda quinquelineata,Pagyda salvalis,Palpita inusitata,Palpita nigropunctalis,Paranacoleia lophophoralis,Phlyctaenia coronatoides,Piletocera sodalis,Pionea auratalis,Pionea minnehaha,Pionea puralis,Pleuroptya balteata,Pleuroptya harutai,Pleuroptya quadrimaculalis,Pleuroptya ruralis,Pseudargyria interruptella,Pseudocatharylla simplex,Pycnarmon lactiferalis,Pycnarmon pantherata,Pygospila tyres,Pyla fusca,Pyla manifestella,Pyralis regalis,Pyrausta fuliginata,Scirpophaga incertulas,Scirpophaga parvalis,Stemmatophora valida,Sylepta fuscomarginalis,Sylepta taiwanalis,Termioptycha inimica,Termioptycha margarita,Tyspanodes hypsalis,Urespita dissipatalis,Sphingidae,Acosmeryx naga,Ambulyx japonica,Ambulyx sericeipennis,Ampelophaga rubiginosa,Callambulyx tatarinovii,Deilephila elpenor,Dolbina exacta,Dolbina tancrei,Macroglossum pyrrhostictum,Marumba spectabilis,Marumba sperchius,Parum colligata,Phillosphingia dissimilis,Psilogramma increta,Rhagastis mongoliana,Theretra clotha,Theretra japonica,Theretra nessus,Thyatiridae,Habrosyne aurorina,Tethea ampliata,Thyrididae,Rhodoneura erecta,Rhodoneura pallida,Rhodoneura sugitanii,Rhodoneura vittula,Striglina cancellata,Zygaenidae,Chalcosia remota,Pidorus glaucopis
H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,1,,,,1,7,1,,,,,,,,,,,,,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,2,,,,1,,2,,,3,,,,,,,,,,,2,,,,7,,,,,,,7,,,,,,,,,,,4,3,,,1,,,,,,2,,,,,,1,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,3,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,2,,,,,,1,,,,,1,1,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,1,,,,,,2,,2,,,,,,,,1,,,,9,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,4,1,,,1,,2,,,1,,,,,,,,6,,1,,,8,,,,,,,,,7,,2,6,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,1,,,,1,,1,,,,,,,,,1,,,,,13,,,,2,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1
H3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,1,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,5,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,1,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,6,,,1,,,,3,,,,,,,,,,,,3,6,,,,,12,,4,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,2,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,4,,,1,,,,8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,19,1,1,,,,,,12,,,,,,,,,,,3,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,17,1,,,,,,,,,1,,,,,,,,2,,,,,,4,2,,,,3,,,,1,,,1,8,,,1,,,8,,,,,7,,,,3,,,,27,,,,1,,,,,19,2,1,,,1,,,,,,,18,,1,,,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,2,3,9,,,,,,,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,1,
B2,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,8,,2,,,1,,,,,1,,,1,5,,,1,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,2,1,,,1,,,,,,,4,4,6,4,,1,,,,2,,,,,,,,,,,,1,,2,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,1,3,,,4,,,,6,8,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,4,,,,,,2,,,,,1,,2,,,,,3,3,,,,,,,,,,,2,,,,,,,,1,,,4,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,2,,,,5,,,2,,,,,,,,,,,4,,,,2,,,,1,,,,5,104,,,,,,,,,1,10,,,,,,,,,,,4,,,,,,,,,,,,,14,,,,2,,,,,,,,,,,,1,2,,2,4,9,,,,,,,,,5,,,5,,,,,1,,1,,2,,,3,,,,,,1,,,,,1,,,1,,,,,,1,,,,,,2
B3,,,3,,,,,3,,,,,,,,,1,,1,,,,,,,,,,,,,,,,4,,,,4,,,,,,1,,1,,,,,,,,,1,9,,4,1,,,,1,,,,,,,,,,7,,,1,,,,21,,,1,,,,,,2,,,1,3,,,,,,,6,,1,,,,,,1,1,,,1,3,,,2,,,,,1,,1,,,,,,,1,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,3,1,1,,,2,1,,,6,4,,,,,,,,,,1,,,3,,,,1,,,10,,,,,1,,,2,,,,,3,1,6,1,,,2,1,2,,,,,1,,3,,,,,,1,,,,,,,,,1,,29,,,,,,,,2,,,1,1,2,,,,,5,1,2,,,,3,2,7,,,,,,,,,,,,1,,,16,,1,,,1,,,,,,,,,,2,,,10,,,,,,1,4,,,,2,5,,1,,,,1,2,,,4,,,5,1,,,1,,,,,,,,,7,,1,,4,,,,,3,,3,,,,,,1,3,,,3,,,,,1,1,,,2,,5,,4,,,,5,1,,,,,,,,,1,,,1,,8,1,4,,,,,5,,,,1,,,,18,2,1,,,,,,6,,,1,,,,,,1,,,2,,,,,,,,,,,,,1,,,1,4
B4,,,2,,1,,,4,,,1,,,,1,,,,,,,1,1,,,,,,,,,,1,,5,,1,1,4,,,,,,,,,,2,,,,,,,1,6,,2,,1,,,,1,,2,1,,1,,,,2,,,,,,,2,,,,,,,,,,1,,1,4,1,,,,,,1,,,,,1,,1,,,,,,,,,4,2,,,,,,,,,,,,,5,,2,1,,,,1,,,1,,,,,,,,,,,,,1,,,,2,,,,,,,,,,1,,,2,3,,,,4,2,2,,,5,,,,,,,,,1,,,1,,,,,,,,2,,,1,,,,15,,,,,,1,3,7,,,,3,,1,,,,,1,1,1,3,,,,1,1,,,,,,,,1,,,8,,,,,,,,6,1,,1,3,3,,,,1,,,,,,,4,,,1,,,,,1,,,,,,,,,6,,1,,,,,,1,,3,,1,,,,,,,,,,2,,1,,,,,2,2,,2,,1,,,,,,,,,2,,,,,,,,1,,,1,,23,,,,4,,,,,,4,6,,,,,,,,,,10,,,,,,,,,,,1,,4,8,,1,1,,3,,,,,,,,,,,1,2,5,,1,,,1,,,,,,2,,,,3,1,,,2,1,,,3,1,1,3,2,,,2,,,1,1,3,,1,,4,1,,,3,,,,1,,,,,1
J1,,,,,1,2,,,,1,,,1,1,1,,,,,,1,,,,1,2,,,1,,,9,1,2,3,,9,,1,1,2,,1,1,,,,1,40,,1,,1,1,,,,,,,,,,,1,,,,,1,,,,16,,,3,,,2,1,,3,,1,,,,,,,,,3,,,,,,,3,,,,,,8,,,,,3,7,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,1,,,1,,1,3,2,,,,,,,,,,,,1,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,22,16,,,,3,2,,,13,,13,,1,5,2,,,,8,1,,,,,,,,,,3,1,,,,,,,14,,1,8,4,1,,,2,,20,,5,,1,,1,,,,,,3,,,,,,,,,,,2,,1,,,,,,,,8,,,,,,7,,20,,,2,1,,,,,2,,,4,,,2,,,,,,,4,1,,4,,13,,7,,,10,2,,,2,,,,,,1,,,,5,,,,,1,,,1,,,,,15,3,,,,,,2,,,2,,,2,1,,1,,,,,,,,1,2,,,12,,4,,,,16,,1,,,,,,,3,,,,,8,,,,9,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,
J2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,11,,1,1,,,,1,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,13,,1,1,,,4,1,,1,,,,,4,,,,,,1,,,,,,,1,,,,,,1,,,,,3,11,,,,3,,,,1,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,1,,,6,,,8,,,3,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,2,,,9,1,,2,,2,,,8,,9,,,3,4,,,,8,,,,1,,,,1,,,4,,1,,,1,,,1,,7,1,2,,,,1,2,16,,5,1,3,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,8,,,,3,,,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,4,,,,1,,,,,2,,,,2,,,,,,1,,,,,,,,7,,,,,,,13,,,5,,,7,,,,4,,,,,,,,,,,,1,1,,,,4,,,,,,,,,,,,,,3,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,
J3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,1,2,1,,,3,,5,,1,,,,,,1,,,,,,,,,,,5,,,,,,1,,,,,,,,2,1,,3,4,,,2,,,4,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,3,,,,,,1,,,,,1,,,,,,,,,5,,,,,,,1,1,1,1,,3,,10,,,,,,,13,,,,,,,,,,,1,,,,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,3,1,,,,2,,,,,,,9,3,,,,,,,1,,,,1,,,,,,7,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,1,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,4,,,,2,,,,,,,,,,,,,,,,,14,,,,,,,,,,,2,1,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J4,,1,,,3,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,25,,2,,4,,1,,1,,,,,,1,,,,4,1,,,6,,1,,,,,,1,1,,,,,,1,1,3,,,1,,,1,,,,,,1,,,,,,,,8,,,,,,,1,,,,,,,,12,,5,,1,,,,2,,,,,,1,,,,,1,,,1,,,,,,,,,,,,2,,,,6,,1,,1,,1,,,14,,1,,,,,,,14,,,,,,8,,,,7,,,,,1,,,,,1,2,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,12,,1,,,,,2,,,,2,2,,,,4,12,,,,,,1,,,4,,,,,,,3,,,,,,,7,,,,6,15,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,1,1,,,,,,1,,3,,1,,,2,1,,,1,,1,,,2,,,1,,,5,4,4,7,,,6,,,10,5,,,,,,,6,3,,,,1,,8,,16,,,,,,,,,,,,,3,1,,,16,,,12,,,,,1,,,,,1,,,2,21,2,1,,,,1,,,,1,,,,8,,1,,1,,,2,1,,1,,,1,,1,,,1,2,,4,8,1,1,,,,,,,,,,,,
J5,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,3,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,2,,,3,,1,,,,,,,,,1,,,,,,,1,,,,,,1,,,1,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2,1,4,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,1,,,,,,,,,,,,,,,1,,,,,,1,,4,,,,,1,,,,,,,,,,1,,,,,,6,,,1,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,3,,,,,,,,,,1,,,1,,,,,,,,2,7,,1,,,,,,,,,1,,,,,10,2,,,5,,,,,5,,,1,1,,,,,,,,,,,1,,2,,1,,,,1,,,1,,1,,,,,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,3,,8,,,,,,,,,,,,,
S1,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,1,4,1,7,3,,13,,,,2,4,,,,,,1,,,,,,,,3,,,,3,,,4,,,,,1,,,,,,,,,,,2,,,,,,3,,,2,,,,,,,,,,,,4,,1,6,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,10,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,4,,1,,1,,,5,,,1,1,,,,,,,,,,,,,,,1,,,,,9,,,,,,,3,1,,3,1,,,,,2,,,3,,1,1,5,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,1,,,,,6,,,,,,,10,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,1,,,12,,,,2,1,4,1,,,,,,,,,,,,,1,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,8,,,,,,1,1,,,,,2,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
S2,,,,2,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,31,1,1,,,,,,1,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,5,2,,,,,,,,,,,1,,,11,,,,,,,,,,,,5,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,8,,,,,2,,,,2,,,,,,,,,,2,,,,1,,,,,,1,,,8,,,,,,3,,,,,,,,12,,,3,,,,,,,,,,,,1,1,,,,2,,1,40,,1,4,2,,7,1,,1,,,,,,1,,,,,,1,1,,,,,,,,,1,,,3,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,7,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,2,1,,1,4,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
S3,,,1,,,,,,,,25,2,,,,,,,,,,,,,,,,,,,,10,1,,2,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,3,,4,,,,1,,,,,,4,,,9,,,1,3,,,,,,,,,,,,,1,,1,,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,2,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,4,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,