"island_name","Agonum.duftshmidi.Shmidt","Agonum.lugens..Duftshmid.","Amara.aulica..Panzer.","Amara.brunea..Gyllenhal.","Amara.communis..Panzer.","Amara.plebeja..Gyllenhal.","Amblystomus.sp_","Anisodatylus.binotatus..Fabricius.","Badister.bullatus..Schrank.","Badister.dorsiger..Duftshmid.","Badister.sodalis..Duftschmid.","Badister.unipustulatus.Bonelli","Bembidion.articulatum..Panzer.","Bembidion.doris..Panzer.","Bembidion.sp","Carabus.granulatus","Calathus.fuscipes..Goeze.","Calathus.melanocephalus..Linnaeus.","Calathus.micropterus..Duftschmid.","Calathus.mollis..Marsham.","Carabus.cancelatus.Illiger","Carabus.hortensis.Linnaeus","Carabus.nemoralis.Muller","Chlaenius.nigricornis..Fabricius.","Clivina.collaris..Herbst.","Clivina.fossor..Linnaeus.","Dischirius.globosus..Herbst.","Epaphius.secalis..Paykull.","Harpalus.4.punctatus.Dejean","Harpalus.froelichi.Sturm","Harpalus.latus..Linnaeus.","Harpalus.rufipalpis.Sturm","Harpalus.solitaris.Dejean","Harpalus.xanthopus.winkleri.Schauberger","Lasoitrechus.discus..Fabricius.","Leistus.ferrugineus..Linnaeus.","Leistus.rufomarginatus..Duftshmid.","Leistus.terminatus..Hellwig.","Loricera.pilicornis..Fabricius.","Nebria.brevicolis..Fabricius.","Notiophilus.biguttatus..Fabricius.","Notiophilus.palustris..Duftshmid.","Oodes.gracilis.A_Villa...G_B_Villa","Oodes.helopioides..Fabricius.","Oxypselaphus.obscurus..Herbst.","Panagaeus.cruxmajor..Linnaeus.","Paranchus.albipes..Fabricius.","Patrobus.atrorufus..Stroem.","Phonus.sp_","Platynus.assimilis..Paykull.","Poecilus.cupreus..Linnaeus.","Poecilus.versicolor..Sturm.","Pseudoophonus.rufipes..De.Geer.","Pseudoophonus.calceatus..Duftshmid.","Pterostichus.antracinus","Pterostichus.aterrimus..Herbst.","Pterostichus.diligens..Sturm.","Pterostichus.gracilis.Dejean.","Pterostichus.longicollis..Duftshmid.","Pterostichus.minor..Gyllenhal.","Pterostichus.niger..Schaller.","Pterostichus.nigrita..Paykull.","Pterostichus.oblongopunctatus..Fabricius.","Pterostichus.strennus..Panzer.","Pterostichus.vernalis..Panzer.","Pterostichus.melanarius","Stenolophus.mixtus","Stomis.pumicatus..Panzer.","Synuchus.vivalis..Illiger.","Trechus.sp_","Dischirius.sp..brachypterous."
"1pog",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,5,0,30,0,0,0,0,0,0,0,0,0
"2pog",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,75,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,83,0,0,187,0,0,0,0,0
"gil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0
"guc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0
"hel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0
"kor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,1019,0,0,1199,0,0,0,0,0
"lip",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,24,0,704,0,0,0,0,0
"mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,3,0,274,0,0,0,0,0,0,39,0,22,0,394,0,0,0,0,0
"sos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0
"swi",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"ter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,2,4,0,0,0,0,0
"wil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,46,0,0,0,0,28,0,61,0,0,21,29,0,0,0,0,0
"wron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,3,0,0,0,0,0,0,0
"wros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
