island_name,Tahiti petrel,Murphy’s petrel,Kermadec petrel,Juan Fernandez petrel,Red-tailed tropic bird,White-tailed tropic bird,Masked booby,Brown booby,Red-footed booby,Lesser frigatebird,Greater frigatebird,Reef heron,Spotless crake,Pacific golden plover,Bristle-thighed curlew,Wandering Tattler,Tuamotu sandpiper,Sanderling,Crested tern,Sooty tern,Grey-backed tern,Black noddy,Brown noddy,Blue-grey noddy,Common white tern,Laughing gull,Polynesian gr dove,Atoll fruit dove,Rock dove,Long-tailed cuckoo,Tuamotu reed warbier
Gambier Is,20,,2,,,20,,20,,,20,5,,3,,40,,,3,,2,20,150,8,600,1,,,12,10,
Morane,,,25,,33,,190,,316,3,173,17,,1,22,47,530,,11,3,,26,900,,1260,,10,,,1,
Ahunui,,,,,13,,1,1,313,1,9,9,,,34,32,,,42,2,,288,837,,260,,,1,,,22
Paraoa,,,,,18,,,,72,1,40,17,,1,54,12,,,24,,,88,233,,494,,,,,,46
Manuhangi,,,,,,,2,2,99,,5,11,,2,28,18,,,5,2,,23,19,,193,,,,,,12
Reitoru,,3,,,78,,2,,612,1200,810,23,,5,42,30,57,,27,,,44,660,,1184,,,,,1,40
Tekokota,,,,,1,,2,3,406,,12,11,,4,13,55,,,,754,,11,1068,,505,,,,,,
Haraiki,,,,,,,,,3,5,,25,,38,31,44,,,7,2,2,100,333,,100,,,,,,43
Tahanea,,,,1,,,3,55,175,310,60,42,1,9,53,47,185,,84,,2,540,860,,560,,,11,,1,55
Fakarava,,,,,,,,146,143,,135,3,,1,11,14,1,,15,,5,141,91,,289,,,,,2,
Maria,,,,,442,,7,88,397,,220,7,,3,41,5,,1,,2,,31,72,,265,,,,,,