island_name,Coryphophylax subcristatus ,Calotes versicolor,Bronchocela danieli ,Mabuya tytleri ,Mabuya andamanensis ,Mabuya rugifera ,Mabuya multifasciata ,Dasia olivacea Gray,Phelsuma andamanensis ,Cyrtodactylus rubidus ,Gekko smithii ,Gekko verreauxi ,Hemidactylus frenatus ,Cosymbotus aff platyurus ,Varnus salvator andamanensis,Crocodytus porosus ,Cuora amboinensis ,Boiga andamanensis ,Boiga wallachi ,Cerberus rynchops ,Lycodon hypsirhinoides ,Lycodon subcinctus,Ptyas mucosa ,Xenochrophis trianguligerus ,Xenochrophis tytleri,Dendrelaphis humayuni ,Xenopeltis unicolor ,Bungarus andamanensis,Ophiophagus hannah ,Triracresurus purpureomacutatus andersoni,Ramphotyphlops braminus ,Python reticulatus 
Great Nicobar,0,0,12,0,0,12,0,8,0,0,2,0,0,0,3,1,0,0,1,94,0,0,0,1,0,5,1,0,0,0,0,0
Havelock,45,0,11,0,2,2,0,3,3,0,3,1,2,0,4,0,1,0,1,1,1,2,0,0,0,2,0,0,0,0,0,2
Inglis,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
John Lawrence,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,
Kondul island,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landfall Island,13,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Little Andaman,30,5,,2,2,,,,,,,,,,,1,,,,,,,,,,,,,, ,,
Middle Andaman Island,31,5,0,0,3,0,0,0,12,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,1,0
Neil,14,,,3,,,,,6,,,,,3,2,,,,,,,,,,,,,1,,,,
North Andaman ,57,22,0,1,3,0,0,0,10,3,0,0,1,0,0,0,0,0,0,0,6,0,2,0,7,0,0,0,0,7,0,0
Peacock Island,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Ross Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutland island,11,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Smith Island,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Andaman,5,6,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,1,0,2,2,0,0,0,3,3,0
South button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,